year,exporter_iso_code_3,importer_iso_code_3,product_category_code,money,mass
2020,ARE,ARG,90610,70120.69,1256107.0
2020,ARE,ARG,270410,1308.48,18609.74
2020,ARE,ARG,390410,3605.56,1546.1
2020,ARE,ARG,520510,1019.29,918.44
2020,ARE,ARG,730410,669.28,616.8
2020,ARE,AUS,10610,5489.04,218679.94
2020,ARE,AUS,90610,88961.39,1407107.45
2020,ARE,AUS,270410,2713.99,60842.53
2020,ARE,AUS,620310,3009.86,1872.76
2020,ARE,AUS,730310,1068.88,466.4
2020,ARE,AUS,840110,80181.11,32730.42
2020,ARE,BGD,610410,648.43,366.36
2020,ARE,BGD,620110,633.22,322.94
2020,ARE,BGD,720210,2436.71,1206.96
2020,ARE,BGD,840510,594.71,431.97
2020,ARE,BGD,940410,2798.3,1815.87
2020,ARE,BRA,220410,10709.81,172864.46
2020,ARE,BRA,270510,1915.07,38279.58
2020,ARE,BRA,520110,1203.67,615.11
2020,ARE,BRA,620210,1743.38,992.96
2020,ARE,BRA,730310,2602.81,1562.85
2020,ARE,BRA,940410,4820.74,2964.22
2020,ARE,CAN,90610,101980.44,1964511.4
2020,ARE,CAN,220410,10310.39,184740.31
2020,ARE,CAN,270410,3047.75,59445.76
2020,ARE,CAN,390610,13599.84,9920.09
2020,ARE,CAN,520510,3644.77,1635.96
2020,ARE,CAN,620210,3311.57,1631.74
2020,ARE,CAN,640210,46964.16,24329.71
2020,ARE,CAN,730310,1706.19,917.38
2020,ARE,CAN,840510,2263.27,1180.3
2020,ARE,CAN,850110,99090.44,34952.58
2020,ARE,CHL,220410,1301.71,33923.6
2020,ARE,CHL,270510,319.4,6726.51
2020,ARE,CHL,730510,1451.64,1087.9
2020,ARE,CHN,30210,121656.73,2783198.17
2020,ARE,CHN,90610,1863404.21,37057142.45
2020,ARE,CHN,220410,37897.87,687710.03
2020,ARE,CHN,270410,41837.42,2179868.17
2020,ARE,CHN,270510,14884.18,153146.41
2020,ARE,CHN,390410,109746.26,76314.2
2020,ARE,CHN,390610,58816.18,35672.43
2020,ARE,CHN,520110,13494.83,5219.67
2020,ARE,CHN,520510,39165.66,16820.49
2020,ARE,CHN,610410,11398.77,9880.34
2020,ARE,CHN,620110,50819.85,13028.24
2020,ARE,CHN,620310,19724.9,22018.56
2020,ARE,CHN,640210,152748.49,155485.7
2020,ARE,CHN,720210,44874.5,31580.63
2020,ARE,CHN,720410,192338.29,213723.86
2020,ARE,CHN,730310,49924.09,49823.55
2020,ARE,CHN,730510,28749.36,14158.72
2020,ARE,CHN,840110,622106.18,385355.38
2020,ARE,CHN,840510,9182.79,4905.02
2020,ARE,CHN,850110,1018130.32,535322.44
2020,ARE,CHN,850510,6468.42,3324.08
2020,ARE,CHN,940410,62542.08,45439.69
2020,ARE,COL,30210,717.97,18168.51
2020,ARE,COL,270410,474.29,9154.38
2020,ARE,COL,620310,1054.74,486.18
2020,ARE,COL,720210,1899.0,573.25
2020,ARE,DEU,10610,40502.15,1365031.28
2020,ARE,DEU,30210,16250.45,224350.43
2020,ARE,DEU,90610,835230.05,37862958.84
2020,ARE,DEU,220410,28525.1,747323.62
2020,ARE,DEU,270410,52131.32,1590028.32
2020,ARE,DEU,270510,10197.95,185890.06
2020,ARE,DEU,390410,167170.23,136187.5
2020,ARE,DEU,390610,32050.11,20731.12
2020,ARE,DEU,520510,4221.66,3198.18
2020,ARE,DEU,610410,20112.85,8682.36
2020,ARE,DEU,620110,15730.53,12504.43
2020,ARE,DEU,620210,9345.01,5472.21
2020,ARE,DEU,620310,28896.06,22331.02
2020,ARE,DEU,640210,159620.93,134855.42
2020,ARE,DEU,720110,12320.46,5351.78
2020,ARE,DEU,720210,49192.23,41895.41
2020,ARE,DEU,720410,114472.91,64989.63
2020,ARE,DEU,730410,3394.33,1408.47
2020,ARE,DEU,730510,28719.68,17029.16
2020,ARE,DEU,840310,13257.15,9107.58
2020,ARE,DEU,840510,14118.99,6478.24
2020,ARE,DEU,850110,454582.18,335883.41
2020,ARE,DEU,850510,10339.56,6190.73
2020,ARE,DEU,940410,68891.57,46872.39
2020,ARE,ECU,720210,522.27,417.35
2020,ARE,ECU,850510,123.16,67.41
2020,ARE,EGY,10610,27389.57,882243.87
2020,ARE,EGY,90610,399720.13,10211997.0
2020,ARE,EGY,270410,4102.0,78112.14
2020,ARE,EGY,270510,5427.71,170621.09
2020,ARE,EGY,620210,4160.78,2109.72
2020,ARE,EGY,720210,11071.3,4966.83
2020,ARE,EGY,730310,1878.3,550.23
2020,ARE,EGY,730510,6526.3,3443.27
2020,ARE,EGY,840110,102593.6,58453.51
2020,ARE,ESP,10610,11347.69,305796.17
2020,ARE,ESP,30210,7967.46,231243.22
2020,ARE,ESP,270410,9272.63,350104.18
2020,ARE,ESP,270510,5467.93,187157.95
2020,ARE,ESP,390410,40947.94,19120.01
2020,ARE,ESP,520510,2295.09,1205.04
2020,ARE,ESP,620110,7619.28,2725.09
2020,ARE,ESP,620210,2494.13,2128.54
2020,ARE,ESP,720210,12115.22,7054.39
2020,ARE,ESP,730510,14380.12,11021.22
2020,ARE,ESP,840110,72639.6,48552.92
2020,ARE,ESP,840310,3979.62,1159.53
2020,ARE,ESP,840510,8628.53,3693.72
2020,ARE,ESP,850110,122989.01,83452.11
2020,ARE,ESP,850510,1844.62,1321.61
2020,ARE,ESP,940410,12609.19,3003.28
2020,ARE,ETH,90610,6336.79,308970.96
2020,ARE,ETH,270410,238.37,9727.76
2020,ARE,ETH,520510,125.57,126.16
2020,ARE,ETH,940410,1622.99,701.7
2020,ARE,FRA,10610,71503.99,1853183.73
2020,ARE,FRA,30210,17160.16,524028.5
2020,ARE,FRA,90610,347698.38,6242429.53
2020,ARE,FRA,220410,31740.57,750870.15
2020,ARE,FRA,270510,5659.0,99075.24
2020,ARE,FRA,390410,236238.6,213982.16
2020,ARE,FRA,520110,31001.6,18943.38
2020,ARE,FRA,520510,4367.22,2109.4
2020,ARE,FRA,610410,13003.03,5867.13
2020,ARE,FRA,620110,6177.35,4891.09
2020,ARE,FRA,620210,6009.28,4104.03
2020,ARE,FRA,620310,8548.37,4584.24
2020,ARE,FRA,720110,17605.43,5073.13
2020,ARE,FRA,720210,32410.67,17114.01
2020,ARE,FRA,720410,54946.23,27869.03
2020,ARE,FRA,730510,30164.92,19043.11
2020,ARE,FRA,840110,154443.09,80539.8
2020,ARE,FRA,840310,3217.99,881.7
2020,ARE,FRA,850110,246808.34,101532.56
2020,ARE,FRA,940410,51512.92,25246.66
2020,ARE,GBR,10610,37526.46,880153.44
