id,region.value
COL,Latin America & Caribbean
BRA,Latin America & Caribbean
MEX,Latin America & Caribbean
ARG,Latin America & Caribbean
CHL,Latin America & Caribbean
PER,Latin America & Caribbean
ECU,Latin America & Caribbean
URY,Latin America & Caribbean
USA,North America
CAN,North America
DEU,Europe & Central Asia
FRA,Europe & Central Asia
GBR,Europe & Central Asia
ITA,Europe & Central Asia
ESP,Europe & Central Asia
NLD,Europe & Central Asia
POL,Europe & Central Asia
TUR,Europe & Central Asia
RUS,Europe & Central Asia
SWE,Europe & Central Asia
CHN,East Asia & Pacific
JPN,East Asia & Pacific
KOR,East Asia & Pacific
IDN,East Asia & Pacific
THA,East Asia & Pacific
VNM,East Asia & Pacific
MYS,East Asia & Pacific
AUS,East Asia & Pacific
IND,South Asia
PAK,South Asia
BGD,South Asia
LKA,South Asia
ZAF,Sub-Saharan Africa
NGA,Sub-Saharan Africa
KEN,Sub-Saharan Africa
ETH,Sub-Saharan Africa
GHA,Sub-Saharan Africa
EGY,Middle East & North Africa
MAR,Middle East & North Africa
SAU,Middle East & North Africa
ARE,Middle East & North Africa
ISR,Middle East & North Africa
